model,r2_score_train,r2_score_test
XGBRegressor,0.939350569143895,0.7647720696836244
VotingRegressor,0.9913144318416128,0.7498595017981372
StackingRegressor,0.9822691079018057,0.7490145840072631
RandomForestRegressor,0.964695914006232,0.7441089446137901
ExtraTreesRegressor,0.9999971945047453,0.7370578497986582
GradientBoostingRegressor,0.774628912079556,0.728515865752645
BaggingRegressor,0.9511017067963553,0.7193935795459812
LinearRegression,0.7120866647966553,0.6951330622603269
RidgeCV,0.7120634114621053,0.6949932045368796
LassoCV,0.7091904757032048,0.6907877470978768
LinearSVR,0.6894704897153663,0.6633696949930492
KNeighborsRegressor,0.7875863459174888,0.6409186893831655
SGDRegressor,0.6656709897282556,0.6340122406227027
SVR,0.6498263125769501,0.6308592689950513
AdaBoostRegressor,0.44242365549966367,0.406781755912483
,,
