rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
505000,363965,mobile,canceled,,,,Early,come earlier,Parking
507750,269550,mobile,ended,-81.0,,,Early,come earlier,Parking
508131,359049,connect,ended,70.0,,,Late 60-120 min,come later,Parking
508865,299063,connect,canceled,,,,Early,come earlier,Parking
511440,313932,mobile,ended,,,,Early,come earlier,Parking
511626,398802,mobile,ended,-203.0,,,Early,come earlier,Parking
511639,370585,connect,ended,-15.0,563782.0,570.0,Early,come earlier,rented again
512303,371242,mobile,ended,-44.0,,,Early,come earlier,Parking
512475,322502,mobile,canceled,,,,Early,come earlier,Parking
513434,256528,connect,ended,23.0,,,Late under 30 min,come later,Parking
513743,330658,mobile,canceled,,,,Early,come earlier,Parking
514161,366037,connect,canceled,,,,Early,come earlier,Parking
514257,402596,mobile,ended,214.0,,,Late more than 180 min,come later,Parking
515147,257466,mobile,ended,15.0,,,Late under 30 min,come later,Parking
516586,347394,mobile,canceled,,,,Early,come earlier,Parking
518282,364160,connect,ended,-81.0,,,Early,come earlier,Parking
518366,397217,mobile,ended,-156.0,,,Early,come earlier,Parking
518895,398816,mobile,ended,66.0,,,Late 60-120 min,come later,Parking
518938,382243,mobile,ended,215.0,,,Late more than 180 min,come later,Parking
519491,312389,mobile,ended,58.0,545639.0,420.0,Late 30-60 min,come later,rented again
519795,383720,connect,ended,-159.0,,,Early,come earlier,Parking
520095,404496,mobile,ended,-16.0,,,Early,come earlier,Parking
520285,243659,mobile,canceled,,,,Early,come earlier,Parking
521156,392479,mobile,ended,,537298.0,0.0,Early,come earlier,rented again
521191,224745,mobile,ended,1452.0,,,Late more than 180 min,come later,Parking
521352,403184,mobile,ended,-29.0,,,Early,come earlier,Parking
521482,254172,mobile,canceled,,,,Early,come earlier,Parking
521734,190995,mobile,ended,-251.0,,,Early,come earlier,Parking
522602,391287,mobile,ended,35.0,,,Late 30-60 min,come later,Parking
522717,335353,mobile,ended,,,,Early,come earlier,Parking
523800,352799,mobile,ended,-345.0,,,Early,come earlier,Parking
524408,380247,mobile,canceled,,,,Early,come earlier,Parking
524422,298040,mobile,canceled,,,,Early,come earlier,Parking
524806,337859,mobile,ended,-26.0,,,Early,come earlier,Parking
525044,349751,mobile,ended,,510607.0,60.0,Early,come earlier,rented again
525817,351617,mobile,ended,22.0,,,Late under 30 min,come later,Parking
526798,356877,mobile,ended,-15.0,,,Early,come earlier,Parking
527377,306450,connect,ended,52.0,,,Late 30-60 min,come later,Parking
527569,314220,mobile,ended,-2.0,,,Early,come earlier,Parking
527627,402562,connect,ended,-1.0,,,Early,come earlier,Parking
528808,181625,connect,ended,-76.0,557404.0,330.0,Early,come earlier,rented again
528974,373328,mobile,canceled,,,,Early,come earlier,Parking
529170,341798,mobile,canceled,,,,Early,come earlier,Parking
529193,374877,mobile,ended,15.0,,,Late under 30 min,come later,Parking
529288,381098,mobile,canceled,,,,Early,come earlier,Parking
529347,391792,mobile,ended,,,,Early,come earlier,Parking
529458,331480,mobile,ended,,,,Early,come earlier,Parking
529852,363433,mobile,ended,-68.0,,,Early,come earlier,Parking
530646,259092,mobile,ended,-340.0,,,Early,come earlier,Parking
530700,221171,mobile,ended,130.0,,,Late 120-180 min,come later,Parking
531158,404169,mobile,ended,29.0,,,Late under 30 min,come later,Parking
531507,355554,mobile,ended,-4.0,,,Early,come earlier,Parking
531526,404562,mobile,ended,-160.0,,,Early,come earlier,Parking
531955,317639,mobile,ended,-30.0,,,Early,come earlier,Parking
531961,234356,mobile,ended,-47.0,,,Early,come earlier,Parking
532245,361468,connect,ended,-63.0,,,Early,come earlier,Parking
532416,275810,mobile,ended,-148.0,,,Early,come earlier,Parking
532495,378257,mobile,ended,44.0,,,Late 30-60 min,come later,Parking
532802,373061,mobile,ended,-98.0,,,Early,come earlier,Parking
533294,364052,mobile,ended,-33.0,,,Early,come earlier,Parking
533303,336902,mobile,ended,-340.0,,,Early,come earlier,Parking
533380,314456,connect,ended,-167.0,,,Early,come earlier,Parking
533442,389958,mobile,ended,31.0,,,Late 30-60 min,come later,Parking
533611,388597,mobile,canceled,,,,Early,come earlier,Parking
533670,320824,connect,ended,-6.0,556563.0,630.0,Early,come earlier,rented again
533683,271380,mobile,ended,79.0,,,Late 60-120 min,come later,Parking
533696,408511,mobile,ended,,,,Early,come earlier,Parking
533790,394562,mobile,ended,30.0,,,Late 30-60 min,come later,Parking
534017,370797,mobile,canceled,,,,Early,come earlier,Parking
534091,399459,mobile,canceled,,,,Early,come earlier,Parking
534611,392176,mobile,ended,33.0,,,Late 30-60 min,come later,Parking
534654,303652,mobile,ended,-52.0,,,Early,come earlier,Parking
534789,395243,mobile,ended,44.0,,,Late 30-60 min,come later,Parking
534820,373893,connect,ended,-576.0,,,Early,come earlier,Parking
534827,404169,mobile,ended,-7.0,531158.0,90.0,Early,come earlier,rented again
534882,194379,mobile,canceled,,,,Early,come earlier,Parking
534926,390702,connect,ended,-178.0,,,Early,come earlier,Parking
534943,358567,connect,ended,37.0,,,Late 30-60 min,come later,Parking
534956,344594,mobile,ended,24.0,,,Late under 30 min,come later,Parking
535071,358480,mobile,ended,40.0,,,Late 30-60 min,come later,Parking
535116,380364,mobile,ended,137.0,,,Late 120-180 min,come later,Parking
535139,384575,mobile,ended,249.0,,,Late more than 180 min,come later,Parking
535313,396552,mobile,ended,23.0,,,Late under 30 min,come later,Parking
535331,402083,connect,ended,-108.0,,,Early,come earlier,Parking
535399,362659,mobile,ended,-6.0,,,Early,come earlier,Parking
535514,348178,mobile,ended,-150.0,,,Early,come earlier,Parking
535601,376381,mobile,ended,9.0,,,Late under 30 min,come later,Parking
535611,397814,mobile,ended,68.0,535512.0,300.0,Late 60-120 min,come later,rented again
535726,375944,connect,ended,38.0,,,Late 30-60 min,come later,Parking
535738,398733,mobile,ended,-1.0,,,Early,come earlier,Parking
535770,352436,mobile,ended,74.0,524703.0,60.0,Late 60-120 min,come later,rented again
535821,381583,mobile,ended,-10.0,,,Early,come earlier,Parking
536108,337311,mobile,ended,-843.0,,,Early,come earlier,Parking
